iter	MultiClass
0	4.31165619
1	4.274789646
2	4.241819183
3	4.202145351
4	4.175935039
5	4.150298077
6	4.115129768
7	4.086145595
8	4.051468512
9	4.020127007
10	3.989261418
11	3.959037972
12	3.929494441
13	3.902109538
14	3.8760195
15	3.847952069
16	3.821655008
17	3.789707442
18	3.763895143
19	3.742882443
20	3.718587489
21	3.694869543
22	3.664551337
23	3.639416018
24	3.613376502
25	3.585788912
26	3.563416533
27	3.537561456
28	3.515141882
29	3.493991545
30	3.472034011
31	3.446425711
32	3.424743312
33	3.397766312
34	3.371967986
35	3.348960712
36	3.330193796
37	3.310955329
38	3.292854073
39	3.27444669
40	3.256052518
41	3.238233473
42	3.21869799
43	3.202887327
44	3.183792649
45	3.167206364
46	3.151195119
47	3.13470239
48	3.121399486
49	3.106483369
50	3.08905569
51	3.072483942
52	3.056852982
53	3.041343185
54	3.02306012
55	3.005474517
56	2.989805205
57	2.975671794
58	2.962778623
59	2.949915666
60	2.93678637
61	2.921706665
62	2.90430963
63	2.888862678
64	2.875926831
65	2.862467532
66	2.847070166
67	2.833636154
68	2.820605454
69	2.80729673
70	2.793715442
71	2.778588262
72	2.762743155
73	2.750400588
74	2.738037812
75	2.724501919
76	2.710051546
77	2.695790421
78	2.68431779
79	2.671372953
80	2.659364429
81	2.648190279
82	2.637677917
83	2.627601579
84	2.613291474
85	2.601964053
86	2.589802602
87	2.577929347
88	2.564096994
89	2.552229098
90	2.54322934
91	2.533039368
92	2.526519557
93	2.517704807
94	2.506014233
95	2.494216919
96	2.484275517
97	2.472380441
98	2.460584693
99	2.44929896
100	2.439703415
101	2.430099541
102	2.419718673
103	2.411569292
104	2.401188726
105	2.391454533
106	2.384240937
107	2.375803136
108	2.366083208
109	2.356894438
110	2.347011242
111	2.338115021
112	2.327628652
113	2.318640473
114	2.308426421
115	2.299024954
116	2.291798505
117	2.282553347
118	2.273858944
119	2.265262472
120	2.260675679
121	2.251835415
122	2.242800697
123	2.23359738
124	2.223100823
125	2.213997068
126	2.204922298
127	2.195820937
128	2.190471198
129	2.182463501
130	2.173896999
131	2.164996557
132	2.157761684
133	2.151275501
134	2.143241961
135	2.136285506
136	2.129819872
137	2.122299828
138	2.115987673
139	2.107956549
140	2.102286444
141	2.097117318
142	2.090340795
143	2.084069429
144	2.075012671
145	2.069867923
146	2.064016716
147	2.056839572
148	2.048137605
149	2.041311411
150	2.033299556
151	2.027351333
152	2.022363231
153	2.01773
154	2.010485347
155	2.004696933
156	1.997803825
157	1.991870562
158	1.986716225
159	1.981706338
160	1.974936725
161	1.970604127
162	1.964251854
163	1.956417187
164	1.953696372
165	1.947060603
166	1.942058368
167	1.936411711
168	1.932905876
169	1.926096463
170	1.919457758
171	1.914448828
172	1.910281227
173	1.906036634
174	1.903867406
175	1.896229325
176	1.889928815
177	1.886789316
178	1.879388977
179	1.873983023
180	1.871137446
181	1.864698964
182	1.857650184
183	1.853178084
184	1.847481683
185	1.844791938
186	1.83793368
187	1.834429966
188	1.830663628
189	1.826190257
190	1.819930438
191	1.814250413
192	1.808791832
193	1.804200287
194	1.800343113
195	1.793721752
196	1.78691948
197	1.78124925
198	1.777115648
199	1.772732432
200	1.767668044
201	1.762381778
202	1.757496197
203	1.753014949
204	1.7474816
205	1.743990967
206	1.739690699
207	1.735094198
208	1.730626212
209	1.725595966
210	1.720347374
211	1.716184461
212	1.714472979
213	1.710940111
214	1.704387879
215	1.698654778
216	1.694680935
217	1.690048276
218	1.686430566
219	1.681521273
220	1.675852693
221	1.671090835
222	1.665564713
223	1.659806163
224	1.655802822
225	1.64994082
226	1.645244655
227	1.643095468
228	1.638070176
229	1.63158986
230	1.630239803
231	1.625058439
232	1.622517005
233	1.616928094
234	1.613320225
235	1.608132304
236	1.602340296
237	1.598389672
238	1.595045581
239	1.592305606
240	1.58928746
241	1.58625439
242	1.582916709
243	1.579508092
244	1.574420034
245	1.572983706
246	1.569731151
247	1.567604477
248	1.563885427
249	1.558094531
250	1.554234524
251	1.550276481
252	1.545615777
253	1.541522298
254	1.538585893
255	1.533816051
256	1.529153667
257	1.525537483
258	1.521010736
259	1.517493624
260	1.513684387
261	1.508885146
262	1.506578542
263	1.502745688
264	1.497739879
265	1.493591246
266	1.491255682
267	1.486717768
268	1.48181772
269	1.478539914
270	1.473345835
271	1.471038278
272	1.468038534
273	1.463420447
274	1.461281422
275	1.457847436
276	1.454679329
277	1.452527246
278	1.449547648
279	1.448696845
280	1.447807798
281	1.44398623
282	1.441114019
283	1.439025536
284	1.436265427
285	1.432149188
286	1.426995735
287	1.422789388
288	1.419866049
289	1.414078224
290	1.410513419
291	1.405787281
292	1.403834397
293	1.399060253
294	1.394980969
295	1.389379171
296	1.386110488
297	1.382028948
298	1.378092014
299	1.374149789
300	1.37108044
301	1.368052728
302	1.365156784
303	1.362180849
304	1.359101318
305	1.35713824
306	1.354797852
307	1.351260775
308	1.347333124
309	1.344334385
310	1.341033933
311	1.338797728
312	1.337389703
313	1.334222728
314	1.329420067
315	1.327396351
316	1.326671514
317	1.325829526
318	1.323428897
319	1.319954095
320	1.317277563
321	1.312814724
322	1.308385596
323	1.305923838
324	1.301210545
325	1.29709965
326	1.292499975
327	1.291115764
328	1.287125578
329	1.283973523
330	1.279485499
331	1.277226319
332	1.272629536
333	1.270240668
334	1.266498298
335	1.26430797
336	1.261143187
337	1.258658358
338	1.256739624
339	1.254270053
340	1.252489033
341	1.250173493
342	1.247694525
343	1.24522573
344	1.241382553
345	1.239411972
346	1.235004689
347	1.233152245
348	1.230498818
349	1.226632861
350	1.224080299
351	1.222363381
352	1.219720111
353	1.215750267
354	1.212973325
355	1.211804071
356	1.209558346
357	1.208041423
358	1.204830185
359	1.201035498
360	1.197117009
361	1.193500402
362	1.191050348
363	1.187170016
364	1.18553018
365	1.184320141
366	1.182539416
367	1.179811153
368	1.177252497
369	1.175258792
370	1.17195027
371	1.167689581
372	1.16470518
373	1.161415523
374	1.157422916
375	1.154740307
376	1.152673184
377	1.149489258
378	1.147441587
379	1.145393348
380	1.142718097
381	1.140150959
382	1.136733859
383	1.134308328
384	1.131086362
385	1.128350184
386	1.125829656
387	1.122653027
388	1.119019325
389	1.117052419
390	1.114266008
391	1.11165296
392	1.110417969
393	1.106831243
394	1.10507849
395	1.102046475
396	1.098858786
397	1.097314178
398	1.095217914
399	1.093497112
400	1.090267068
401	1.087660501
402	1.084963792
403	1.0822735
404	1.080901882
405	1.078929801
406	1.076721727
407	1.074322719
408	1.072260614
409	1.070265368
410	1.068132691
411	1.066701199
412	1.06461644
413	1.06161599
414	1.059632342
415	1.057579635
416	1.054651868
417	1.052968133
418	1.050408913
419	1.047398461
420	1.044670206
421	1.042009162
422	1.038537693
423	1.036480405
424	1.035075679
425	1.032191089
426	1.03013297
427	1.028006281
428	1.024825409
429	1.021876541
430	1.01990262
431	1.01722008
432	1.014940555
433	1.011893228
434	1.010201562
435	1.00724882
436	1.004538317
437	1.001847597
438	1.000070629
439	0.9976707754
440	0.994850635
441	0.9920887938
442	0.9896232682
443	0.9870767213
444	0.9843517108
445	0.9820777429
446	0.9799994183
447	0.9783767573
448	0.9759994665
449	0.9744732187
450	0.9717555315
451	0.9692672991
452	0.9680738698
453	0.9659672126
454	0.9630208565
455	0.9605720679
456	0.9597458021
457	0.9570234707
458	0.9540832195
459	0.9511248366
460	0.9486098661
461	0.947800331
462	0.9463377596
463	0.9448018207
464	0.9432127662
465	0.9414129816
466	0.9406405733
467	0.9390528839
468	0.9369663019
469	0.9354486473
470	0.9339812385
471	0.9321445172
472	0.9307902556
473	0.928518976
474	0.9259836138
475	0.9235574727
476	0.9222185777
477	0.9202316229
478	0.9176221964
479	0.9148577888
480	0.9125931369
481	0.9103055877
482	0.9077462603
483	0.9066106437
484	0.9040613158
485	0.9015998811
486	0.8996810152
487	0.8983037476
488	0.8966043154
489	0.8944628002
490	0.891971318
491	0.8892305681
492	0.8865998042
493	0.8840128291
494	0.8819214135
495	0.8799615312
496	0.8775280441
497	0.876249165
498	0.874780549
499	0.8736400516
500	0.8722832015
501	0.8710248419
502	0.8705452779
503	0.8683885067
504	0.8667627837
505	0.8649526343
506	0.8632389748
507	0.8612252707
508	0.8593018207
509	0.8574996916
510	0.8557761814
511	0.8542603895
512	0.853934204
513	0.8525921331
514	0.8519780974
515	0.8496775526
516	0.847418774
517	0.8462376993
518	0.8439757106
519	0.8420727952
520	0.840752677
521	0.8382964804
522	0.83681296
523	0.8348504864
524	0.8341424113
525	0.8320562522
526	0.8298107322
527	0.8280404136
528	0.8260121242
529	0.8251020425
530	0.8234765291
531	0.8215572519
532	0.8197570149
533	0.8181930668
534	0.8168601799
535	0.8148274957
536	0.8132269985
537	0.8115236368
538	0.8108244822
539	0.8093700785
540	0.8074375992
541	0.8057206928
542	0.8042242523
543	0.8028309975
544	0.8015917686
545	0.8011234526
546	0.7990950629
547	0.797270643
548	0.7953625527
549	0.7934308898
550	0.7916399808
551	0.7900063776
552	0.7882847747
553	0.786733209
554	0.7849431392
555	0.7833251321
556	0.7812977471
557	0.7802232817
558	0.7792387284
559	0.7775480309
560	0.7758250811
561	0.7745214197
562	0.7725657759
563	0.7714417022
564	0.7699172161
565	0.7684827198
566	0.7666370666
567	0.7645529263
568	0.7632227253
569	0.7627604817
570	0.7609027163
571	0.7589612536
572	0.7580244262
573	0.7563592587
574	0.7552307978
575	0.7538555432
576	0.752427542
577	0.7505024397
578	0.7495957197
579	0.7487430018
580	0.7477140742
581	0.7464847542
582	0.745537339
583	0.7439221643
584	0.7431879491
585	0.7416439354
586	0.7400539664
587	0.7387422207
588	0.7372454499
589	0.7361237356
590	0.7345889053
591	0.7336772373
592	0.7322754291
593	0.7305006356
594	0.7289413373
595	0.727655502
596	0.7268750386
597	0.7255356934
598	0.7243831711
599	0.7233932479
