iter	Passed	Remaining
0	181	181634
1	217	108719
2	247	82211
3	274	68295
4	282	56219
5	311	51632
6	339	48159
7	371	46103
8	399	44043
9	429	42479
10	457	41162
11	485	39933
12	512	38913
13	541	38110
14	577	37905
15	610	37521
16	639	36982
17	668	36456
18	699	36104
19	725	35526
20	751	35048
21	779	34655
22	795	33797
23	823	33469
24	848	33107
25	875	32795
26	902	32527
27	930	32302
28	958	32101
29	989	31988
30	1018	31844
31	1084	32798
32	1121	32854
33	1156	32868
34	1200	33111
35	1224	32782
36	1253	32624
37	1294	32783
38	1330	32789
39	1364	32747
40	1395	32652
41	1423	32477
42	1451	32305
43	1479	32151
44	1508	32019
45	1537	31888
46	1564	31717
47	1591	31571
48	1618	31411
49	1646	31291
50	1673	31135
51	1700	31006
52	1726	30849
53	1752	30692
54	1779	30574
55	1805	30438
56	1833	30329
57	1860	30222
58	1887	30104
59	1914	29986
60	1941	29881
61	1968	29783
62	1997	29701
63	2024	29610
64	2053	29538
65	2080	29437
66	2106	29339
67	2135	29262
68	2160	29151
69	2187	29062
70	2214	28977
71	2240	28883
72	2268	28804
73	2293	28701
74	2321	28629
75	2349	28560
76	2376	28487
77	2403	28412
78	2430	28338
79	2457	28257
80	2483	28175
81	2511	28120
82	2538	28048
83	2567	27997
84	2594	27930
85	2619	27841
86	2647	27785
87	2675	27732
88	2703	27668
89	2730	27605
90	2756	27530
91	2784	27483
92	2811	27423
93	2839	27367
94	2867	27312
95	2900	27311
96	2936	27333
97	2971	27346
98	3033	27603
99	3066	27597
100	3099	27592
101	3130	27558
102	3161	27530
103	3188	27473
104	3229	27529
105	3256	27463
106	3287	27434
107	3318	27407
108	3348	27370
109	3377	27326
110	3411	27325
111	3448	27344
112	3485	27356
113	3520	27360
114	3556	27370
115	3594	27393
116	3627	27374
117	3660	27357
118	3694	27354
119	3726	27330
120	3759	27313
121	3791	27287
122	3824	27266
123	3854	27229
124	3883	27185
125	3911	27130
126	3938	27070
127	3965	27012
128	3994	26969
129	4023	26928
130	4050	26868
131	4078	26816
132	4106	26770
133	4135	26729
134	4162	26673
135	4189	26618
136	4217	26566
137	4244	26510
138	4272	26464
139	4310	26479
140	4337	26423
141	4363	26367
142	4392	26322
143	4419	26272
144	4446	26219
145	4473	26165
146	4503	26130
147	4540	26137
148	4572	26116
149	4601	26074
150	4632	26045
151	4660	26002
152	4687	25948
153	4714	25897
154	4739	25838
155	4766	25789
156	4794	25743
157	4820	25687
158	4848	25642
159	4875	25598
160	4903	25552
161	4931	25510
162	4957	25455
163	4992	25451
164	5019	25403
165	5049	25371
166	5080	25341
167	5111	25314
168	5137	25261
169	5177	25276
170	5218	25300
171	5257	25308
172	5287	25275
173	5329	25297
174	5361	25275
175	5397	25269
176	5427	25235
177	5458	25204
178	5485	25159
179	5516	25128
180	5548	25104
181	5577	25066
182	5606	25031
183	5634	24987
184	5662	24944
185	5689	24899
186	5721	24875
187	5750	24839
188	5781	24806
189	5814	24787
190	5847	24768
191	5880	24745
192	5912	24720
193	5942	24690
194	5979	24683
195	6011	24660
196	6042	24628
197	6073	24602
198	6104	24570
199	6138	24553
200	6173	24539
201	6207	24521
202	6241	24504
203	6273	24480
204	6307	24461
205	6340	24440
206	6377	24430
207	6419	24444
208	6452	24420
209	6486	24402
210	6517	24370
211	6545	24327
212	6572	24282
213	6599	24237
214	6627	24197
215	6653	24149
216	6680	24106
217	6708	24064
218	6734	24017
219	6761	23973
220	6789	23931
221	6816	23889
222	6844	23847
223	6872	23807
224	6902	23776
225	6934	23748
226	6964	23717
227	6994	23684
228	7023	23647
229	7053	23612
230	7079	23566
231	7105	23521
232	7137	23496
233	7171	23475
234	7206	23459
235	7241	23443
236	7275	23421
237	7307	23397
238	7340	23372
239	7371	23342
240	7405	23321
241	7435	23288
242	7463	23251
243	7490	23208
244	7518	23168
245	7544	23125
246	7571	23083
247	7602	23052
248	7634	23026
249	7667	23001
250	7697	22969
251	7725	22932
252	7753	22893
253	7779	22848
254	7806	22805
255	7835	22770
256	7862	22732
257	7890	22692
258	7917	22651
259	7943	22608
260	7972	22572
261	8000	22534
262	8027	22495
263	8055	22457
264	8084	22422
265	8111	22382
266	8137	22341
267	8165	22303
268	8198	22279
269	8231	22255
270	8266	22236
271	8297	22208
272	8326	22173
273	8356	22141
274	8385	22107
275	8412	22068
276	8440	22029
277	8466	21989
278	8494	21952
279	8523	21916
280	8550	21877
281	8578	21842
282	8605	21803
283	8634	21767
284	8661	21729
285	8689	21692
286	8717	21656
287	8744	21618
288	8774	21587
289	8801	21548
290	8832	21518
291	8858	21479
292	8886	21442
293	8913	21405
294	8941	21367
295	8969	21332
296	8998	21298
297	9026	21264
298	9055	21229
299	9083	21195
300	9112	21162
301	9139	21123
302	9167	21087
303	9196	21054
304	9224	21020
305	9250	20980
306	9279	20947
307	9308	20914
308	9336	20879
309	9363	20841
310	9390	20804
311	9417	20765
312	9442	20725
313	9469	20689
314	9498	20654
315	9525	20617
316	9554	20586
317	9582	20551
318	9609	20515
319	9637	20478
320	9663	20441
321	9691	20405
322	9719	20370
323	9746	20334
324	9774	20301
325	9801	20264
326	9830	20232
327	9857	20196
328	9885	20162
329	9915	20132
330	9945	20101
331	9974	20068
332	10002	20034
333	10031	20003
334	10059	19968
335	10088	19936
336	10117	19904
337	10144	19868
338	10175	19841
339	10213	19825
340	10245	19800
341	10280	19778
342	10313	19755
343	10349	19737
344	10382	19712
345	10413	19682
346	10442	19650
347	10470	19616
348	10498	19582
349	10526	19549
350	10554	19515
351	10582	19482
352	10611	19449
353	10638	19414
354	10664	19376
355	10691	19340
356	10720	19309
357	10751	19280
358	10781	19249
359	10811	19220
360	10844	19195
361	10873	19163
362	10902	19131
363	10936	19108
364	10969	19083
365	11001	19058
366	11036	19035
367	11072	19016
368	11105	18990
369	11133	18956
370	11162	18925
371	11190	18891
372	11221	18862
373	11255	18839
374	11289	18815
375	11319	18785
376	11347	18751
377	11375	18718
378	11403	18685
379	11432	18652
380	11459	18617
381	11487	18584
382	11515	18550
383	11544	18519
384	11572	18486
385	11600	18453
