iter	RMSE
0	14.96949861
1	14.52890463
2	14.09014956
3	13.71038752
4	13.30371864
5	12.92501171
6	12.55936679
7	12.23074614
8	11.8911053
9	11.58296505
10	11.25837578
11	10.95418741
12	10.63355433
13	10.34190051
14	10.07113359
15	9.807424849
16	9.540149095
17	9.311383712
18	9.071192761
19	8.843461635
20	8.637375807
21	8.423370953
22	8.204566643
23	8.01462576
24	7.815543996
25	7.642154287
26	7.462255284
27	7.307738041
28	7.144999012
29	6.999307861
30	6.849685239
31	6.703430984
32	6.566525266
33	6.440401269
34	6.309620573
35	6.192056919
36	6.078826943
37	5.958589754
38	5.857292542
39	5.760172467
40	5.662324196
41	5.579148523
42	5.491583717
43	5.407043603
44	5.330200281
45	5.264248965
46	5.196853653
47	5.129197746
48	5.065974093
49	4.995079909
50	4.939279936
51	4.877195085
52	4.821916371
53	4.772162593
54	4.716607238
55	4.661549866
56	4.615560259
57	4.570959393
58	4.521898841
59	4.47486545
60	4.436341496
61	4.391816877
62	4.353607923
63	4.319978819
64	4.286314622
65	4.249683863
66	4.21496984
67	4.18720814
68	4.157045433
69	4.122505677
70	4.09480612
71	4.06773672
72	4.039950148
73	4.0153314
74	3.992847888
75	3.968320856
76	3.945832801
77	3.925695171
78	3.906279058
79	3.886402322
80	3.868347139
81	3.847880255
82	3.831102821
83	3.816035088
84	3.805188414
85	3.788573348
86	3.774824434
87	3.760510928
88	3.747193323
89	3.733882901
90	3.719409009
91	3.707289977
92	3.696253778
93	3.684556256
94	3.673025112
95	3.664931439
96	3.654662036
97	3.6459339
98	3.634926253
99	3.624781693
100	3.614450711
101	3.603831107
102	3.592979039
103	3.583550631
104	3.573950399
105	3.566341432
106	3.558933864
107	3.552433702
108	3.545309651
109	3.53908672
110	3.53340756
111	3.528000345
112	3.518694462
113	3.512551812
114	3.506270329
115	3.501998265
116	3.494660786
117	3.489935027
118	3.484560252
119	3.477029693
120	3.471529135
121	3.465475538
122	3.460048179
123	3.454665984
124	3.451054566
125	3.448750613
126	3.444959098
127	3.439928573
128	3.436647804
129	3.434131408
130	3.428964479
131	3.426501554
132	3.422559734
133	3.419187381
134	3.416140772
135	3.413394588
136	3.407444984
137	3.40485023
138	3.39984246
139	3.396279442
140	3.393209347
141	3.389428849
142	3.386749068
143	3.379802373
144	3.376590279
145	3.372748724
146	3.367192499
147	3.364863594
148	3.361461995
149	3.359700137
150	3.352921268
151	3.351609565
152	3.349163513
153	3.346901853
154	3.342493417
155	3.339880143
156	3.336688463
157	3.333843054
158	3.331051545
159	3.3279998
160	3.325816094
161	3.322718993
162	3.320711215
163	3.318028345
164	3.316293535
165	3.314107496
166	3.310865958
167	3.309314136
168	3.306796128
169	3.303268451
170	3.30049722
171	3.297685539
172	3.294998125
173	3.292680042
174	3.289840373
175	3.287247925
176	3.285431882
177	3.282662134
178	3.278806849
179	3.27691298
180	3.274517443
181	3.272173559
182	3.268535064
183	3.266527749
184	3.265030459
185	3.263200063
186	3.260303459
187	3.258644792
188	3.254540666
189	3.251646053
190	3.24804369
191	3.244918397
192	3.241504713
193	3.239409234
194	3.237608861
195	3.23573931
196	3.233472205
197	3.232106656
198	3.229182308
199	3.225896579
200	3.223395305
201	3.220963308
202	3.218676464
203	3.216939345
204	3.214708812
205	3.212111812
206	3.210751872
207	3.208990092
208	3.208008773
209	3.206413781
210	3.200949556
211	3.199713317
212	3.196551662
213	3.193432607
214	3.191503516
215	3.189588528
216	3.186349826
217	3.18467118
218	3.18270486
219	3.179781865
220	3.177850628
221	3.176509299
222	3.175053734
223	3.174717833
224	3.172261122
225	3.170206492
226	3.165449514
227	3.163659735
228	3.161767103
229	3.161094365
230	3.159886602
231	3.158125141
232	3.155866497
233	3.153924175
234	3.15250603
235	3.150316495
236	3.148749505
237	3.147448237
238	3.144940752
239	3.14043797
240	3.138468053
241	3.136857831
242	3.133823503
243	3.131094359
244	3.129965023
245	3.129578094
246	3.126243435
247	3.123791508
248	3.122635581
249	3.120372551
250	3.119775382
251	3.118142093
252	3.114119113
253	3.111624934
254	3.109277222
255	3.108870607
256	3.105945073
257	3.104960782
258	3.103625131
259	3.098894238
260	3.09500585
261	3.093800448
262	3.091066573
263	3.089427753
264	3.087720951
265	3.085085037
266	3.080839275
267	3.078313396
268	3.075282921
269	3.074937572
270	3.074037102
271	3.070173962
272	3.066941153
273	3.065276782
274	3.061527882
275	3.058199378
276	3.056974909
277	3.055555285
278	3.051155594
279	3.047527381
280	3.04536234
281	3.04208555
282	3.038671969
283	3.038005045
284	3.03674412
285	3.03480695
286	3.032236163
287	3.027057034
288	3.024520006
289	3.019973603
290	3.0191732
291	3.018784457
292	3.015988383
293	3.014315152
294	3.013789116
295	3.010915496
296	3.00995668
297	3.006447206
298	3.005058071
299	3.0029856
300	2.999677008
301	2.997307681
302	2.996279382
303	2.993954609
304	2.99020005
305	2.987546109
306	2.982176178
307	2.98072572
308	2.978268357
309	2.976109603
310	2.973322721
311	2.969965532
312	2.967281444
313	2.964493694
314	2.961269776
315	2.959449886
316	2.958573426
317	2.957162725
318	2.955776962
319	2.954056111
320	2.951121511
321	2.947977516
322	2.946078846
323	2.942254744
324	2.937947212
325	2.937336913
326	2.935279861
327	2.932838638
328	2.930280203
329	2.927691567
330	2.926627593
331	2.923839986
332	2.922386678
333	2.921073391
334	2.919862417
335	2.91871522
336	2.915762484
337	2.914562039
338	2.912804711
339	2.908917306
340	2.90810155
341	2.90729309
342	2.907080766
343	2.905482393
344	2.90253307
345	2.899012135
346	2.896092162
347	2.894260838
348	2.891178594
349	2.890805307
350	2.888750463
351	2.886436809
352	2.883302105
353	2.88001697
354	2.87671728
355	2.874639478
356	2.871415937
357	2.870088494
358	2.869143533
359	2.866895738
360	2.866464783
361	2.8627091
362	2.861813655
363	2.85849979
364	2.856674656
365	2.854020786
366	2.850956466
367	2.848333551
368	2.846880171
369	2.843213139
370	2.842685592
371	2.841139524
372	2.838746858
373	2.838213069
374	2.837942013
375	2.835480179
376	2.831764442
377	2.831132797
378	2.829805878
379	2.828711292
380	2.825234789
381	2.823008894
382	2.820102515
383	2.818079662
384	2.817273205
385	2.814151122
386	2.81163713
387	2.808918914
388	2.808216828
389	2.807703369
390	2.804590643
391	2.80279469
392	2.802485668
393	2.801052638
394	2.798903782
395	2.795465934
396	2.792888716
397	2.792004583
398	2.790396742
399	2.790187329
400	2.786660902
401	2.786297613
402	2.783439066
403	2.781543129
404	2.780466851
405	2.779960703
406	2.777087478
407	2.774587661
408	2.774062334
409	2.771337612
410	2.768560969
411	2.768410251
412	2.767646884
413	2.765518381
414	2.763670789
415	2.763393369
