iter	Passed	Remaining
0	145	144933
1	146	73200
2	147	49181
3	149	37156
4	150	30038
5	152	25259
6	155	22000
7	157	19472
8	158	17442
9	159	15794
10	160	14430
11	165	13591
12	166	12675
13	168	11869
14	169	11144
15	170	10509
16	172	9953
17	173	9469
18	177	9148
19	178	8746
20	179	8372
21	180	8041
22	181	7724
23	182	7437
24	183	7171
25	184	6926
26	185	6696
27	186	6484
28	187	6285
29	192	6232
30	193	6055
31	194	5889
32	195	5728
33	196	5579
34	197	5436
35	197	5300
36	198	5175
37	199	5056
38	200	4943
39	201	4834
40	202	4731
41	203	4651
42	205	4566
43	205	4475
44	206	4388
45	207	4305
46	208	4225
47	209	4149
48	210	4078
49	211	4013
50	212	3945
51	212	3879
52	214	3823
53	214	3764
54	218	3752
55	219	3700
56	220	3647
57	221	3593
58	222	3541
59	222	3488
60	223	3438
61	224	3392
62	225	3347
63	225	3304
64	226	3263
65	227	3223
66	228	3183
67	229	3144
68	233	3146
69	234	3110
70	235	3074
71	235	3040
72	236	3005
73	237	2971
74	238	2938
75	239	2906
76	239	2875
77	240	2847
78	241	2817
79	242	2789
80	243	2762
81	244	2734
82	246	2726
83	247	2702
84	248	2672
85	251	2671
86	252	2646
87	252	2621
88	253	2599
89	254	2575
90	255	2551
91	256	2528
92	256	2504
93	257	2482
94	258	2458
95	260	2449
96	261	2437
97	262	2419
98	263	2399
99	264	2379
100	265	2359
101	265	2340
102	266	2321
103	267	2302
104	267	2283
105	268	2265
106	269	2247
107	270	2230
108	270	2213
109	271	2196
110	272	2180
111	272	2164
112	274	2151
113	276	2149
114	277	2134
115	277	2118
116	278	2102
117	279	2086
118	279	2072
119	280	2057
120	281	2043
121	282	2029
122	282	2016
123	283	2002
124	284	1989
125	284	1974
126	285	1960
127	285	1948
128	286	1935
129	289	1937
130	290	1929
131	291	1918
132	292	1906
133	293	1894
134	293	1883
135	294	1872
136	295	1860
137	296	1849
138	296	1837
139	297	1826
140	297	1815
141	298	1804
142	299	1793
143	301	1790
144	302	1784
145	304	1778
146	304	1768
147	305	1759
148	306	1750
149	307	1741
150	308	1732
151	308	1720
152	309	1711
153	309	1701
154	310	1693
155	311	1686
156	312	1678
157	313	1669
158	314	1660
159	314	1651
160	316	1647
161	318	1645
162	318	1637
163	319	1629
164	320	1620
165	320	1612
166	321	1604
167	322	1597
168	323	1588
169	323	1580
170	324	1571
171	324	1563
172	325	1555
173	326	1548
174	326	1539
175	327	1532
176	327	1524
177	328	1515
178	328	1508
179	329	1500
180	330	1496
181	331	1489
182	332	1482
183	333	1478
184	333	1470
185	334	1463
186	334	1456
187	335	1448
188	335	1441
189	336	1434
190	337	1428
191	337	1421
192	338	1415
193	338	1408
194	339	1402
195	340	1396
196	340	1389
197	341	1383
198	342	1378
199	343	1372
200	344	1368
201	345	1366
202	347	1365
203	350	1366
204	351	1364
205	352	1359
206	354	1357
207	367	1398
208	369	1398
209	374	1407
210	378	1416
211	381	1418
212	382	1414
213	384	1411
214	385	1406
215	386	1401
216	386	1395
217	387	1390
218	388	1387
219	390	1382
220	393	1385
221	394	1381
222	395	1376
223	395	1370
224	396	1366
225	397	1360
226	397	1354
227	398	1348
228	398	1343
229	399	1337
230	399	1331
231	400	1325
232	400	1319
233	401	1314
234	402	1308
235	402	1303
236	403	1298
237	403	1293
238	404	1288
239	404	1282
240	405	1277
241	406	1273
242	408	1272
243	409	1270
244	410	1265
245	411	1260
246	411	1255
247	412	1250
248	412	1245
249	413	1240
250	413	1235
251	414	1230
252	415	1226
253	416	1222
254	416	1217
255	417	1211
256	417	1207
257	418	1202
258	418	1197
259	419	1193
260	419	1188
261	420	1183
262	420	1178
263	422	1177
264	423	1174
265	424	1170
266	425	1166
267	425	1162
268	426	1158
269	426	1153
270	427	1150
271	428	1145
272	428	1142
273	429	1137
274	429	1133
275	430	1129
276	431	1125
277	431	1120
278	432	1116
279	432	1112
280	433	1108
281	434	1105
282	434	1101
283	435	1097
284	436	1095
285	437	1093
286	438	1089
287	439	1086
288	440	1082
289	440	1079
290	441	1075
291	441	1071
292	442	1067
293	443	1063
294	443	1060
295	444	1056
296	444	1052
297	445	1048
298	445	1044
299	445	1040
300	446	1036
301	446	1032
302	447	1029
303	447	1025
304	448	1021
305	448	1018
306	449	1014
307	449	1010
308	450	1006
309	450	1003
310	452	1002
311	453	998
312	453	995
313	454	992
314	454	989
315	455	985
316	455	982
317	456	978
318	456	975
319	457	971
320	457	968
321	458	964
322	458	961
323	459	958
324	459	954
325	460	951
326	460	948
327	461	944
328	461	941
329	462	938
330	462	934
331	463	931
332	463	928
333	463	924
334	464	921
335	464	918
336	465	915
337	465	912
338	467	911
339	468	909
340	468	906
341	469	903
342	470	901
343	471	898
344	471	896
345	472	893
346	473	890
347	473	887
348	474	885
349	475	882
350	475	879
351	476	876
352	476	873
353	477	871
354	477	868
355	478	865
356	478	862
357	479	859
358	479	856
359	480	853
360	481	852
361	482	849
362	482	847
363	483	844
364	484	842
365	484	839
366	485	837
367	485	834
368	486	831
369	487	829
370	488	827
371	488	824
372	489	822
373	489	819
374	490	817
375	490	814
376	491	811
377	491	809
378	492	806
379	492	803
380	493	801
381	493	798
382	494	796
383	494	793
384	495	790
385	496	788
386	497	787
387	497	785
388	498	782
389	499	780
390	500	778
391	500	776
392	501	774
393	501	771
394	502	769
395	502	766
396	503	764
397	503	761
398	504	759
399	504	756
400	505	754
401	505	751
402	505	749
403	506	747
404	506	744
405	507	742
406	507	740
407	508	737
408	508	735
409	509	732
410	509	730
411	510	728
412	511	727
413	513	726
414	513	724
415	514	721
416	514	719
417	515	717
418	515	715
419	516	713
420	516	710
421	517	708
422	517	706
423	518	704
424	518	702
425	519	700
426	520	697
427	520	695
428	521	693
429	521	691
430	521	689
431	522	686
432	522	684
433	523	682
434	523	680
435	524	678
436	524	675
437	525	673
438	526	672
439	527	671
440	528	669
441	528	667
442	529	665
443	529	663
444	530	661
445	530	659
446	531	657
447	531	655
448	532	653
449	532	651
450	533	649
451	533	646
452	534	644
453	534	642
454	534	640
455	535	638
456	535	636
457	536	634
458	536	632
459	537	630
460	538	629
461	538	627
462	538	625
463	539	623
464	540	622
465	541	621
466	542	619
467	543	617
468	543	615
469	544	613
470	544	611
471	545	609
472	545	608
473	546	606
474	546	604
475	547	602
476	547	600
477	548	598
478	548	596
479	549	594
480	549	592
481	550	591
482	550	589
483	550	587
484	551	585
485	551	583
486	553	582
487	554	581
488	555	580
489	555	578
490	556	576
491	557	575
492	557	573
493	558	571
494	558	570
495	559	568
496	559	566
497	560	564
498	560	563
499	561	561
500	561	559
501	562	557
502	562	556
503	563	554
504	563	552
505	564	550
506	564	549
507	565	547
508	565	545
509	566	543
510	566	542
511	567	540
512	568	539
513	570	539
514	570	537
515	571	536
516	572	534
517	572	532
518	573	531
519	573	529
520	574	528
521	574	526
522	575	524
523	575	523
524	576	521
525	577	520
526	577	518
527	579	518
528	580	516
529	580	515
530	581	513
531	583	513
532	584	512
533	586	512
534	587	510
535	587	509
536	588	507
537	589	506
538	589	504
539	590	502
540	590	501
541	591	499
542	592	498
543	592	496
544	593	495
545	594	494
546	594	492
547	595	491
548	595	489
549	596	487
550	597	486
551	598	485
552	599	484
553	600	483
554	600	481
555	601	479
556	601	478
557	602	476
558	602	475
559	603	473
560	603	472
561	604	470
562	604	469
563	605	467
564	605	466
565	606	464
566	606	463
567	606	461
568	607	460
569	607	458
570	608	457
571	608	455
572	609	453
573	609	452
574	610	451
575	610	449
576	611	448
577	611	446
578	612	445
579	613	444
580	614	443
581	614	441
582	615	440
583	615	438
584	616	437
585	616	435
586	617	434
587	617	432
588	618	431
589	618	430
590	619	428
591	619	427
592	620	425
593	620	424
594	621	422
595	621	421
596	622	420
597	622	418
598	623	417
599	623	415
600	624	414
601	624	413
602	625	411
603	625	410
604	626	408
605	626	407
606	627	406
607	628	405
608	629	403
609	629	402
610	630	401
611	631	400
612	631	398
613	632	397
614	632	396
